Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),Questionário: PROVA 2 - ERE - ATESTADO (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),Questionário: PROVA 3 - ERE - ATESTADO (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Conceito Final (Real),Total do curso (Real)
57,9.38,10,10,10,10,10,10,10,10,10,10,10,9.95,1,7,8,1,3,-,4,1,3.1,-,4.1,5.37,7.2,-,-,-,2.88,7.2,7.2
58,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,1,7,-,8,1,6.27,-,7.27,8.06,8.83,-,-,-,3.53,8.83,8.83
59,-,10,-,-,0,-,10,10,10,10,10,10,5.83,0.5,5.5,6,0.8,4,-,4.8,1,6.17,-,7.17,5.99,5.93,-,-,-,2.37,5.93,5.93
60,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,8.5,-,9.5,1,8.33,-,9.33,9.28,9.57,-,-,-,3.83,9.57,9.57
61,10,10,10,5,10,10,10,10,10,10,10,10,9.58,0.8,6.5,7.3,1,4.83,-,5.83,0.9,2.43,-,3.33,5.49,7.13,-,-,-,2.85,7.13,7.13
62,10,10,10,5,10,10,10,10,10,10,5,5,8.75,0.9,5,5.9,0.9,5.5,-,6.4,1,4.93,-,5.93,6.08,7.15,-,-,-,2.86,7.15,7.15
63,-,-,10,7.5,10,10,10,6.67,10,10,10,10,7.85,0.8,9,9.8,0.1,6.83,-,6.93,0.7,6.53,-,7.23,7.99,7.93,-,-,-,3.17,7.93,7.93
64,10,10,10,10,10,10,5,10,10,10,10,10,9.58,1,6,7,1,5.33,-,6.33,1,8.3,-,9.3,7.54,8.36,-,-,-,3.34,8.36,8.36
65,-,3.33,10,5,10,6.67,10,6.67,10,10,10,-,6.81,0.5,7,7.5,0.8,2,-,2.8,0.8,1.03,-,1.83,4.04,5.15,0.6,1.5,2.1,3.32,5.15,5.15
66,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,0.9,8,-,8.9,1,7.43,-,8.43,8.08,8.85,-,-,-,3.54,8.85,8.85
67,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,7.83,-,8.83,-,8.33,-,8.33,9.06,9.43,-,-,-,3.77,9.43,9.43
68,9.38,10,6.67,10,10,6.67,10,3.33,0,10,10,10,8,0.8,8,8.8,1,4.5,-,5.5,1,2.73,-,3.73,6.01,6.81,-,-,-,2.72,6.81,6.81
69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,9.38,10,10,10,10,6.67,10,10,10,-,10,5,8.42,0.8,5.5,6.3,0.9,4.67,-,5.57,1,6.53,-,7.53,6.47,7.25,-,-,-,2.9,7.25,7.25
71,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,6.33,-,7.33,1,7.56,-,8.56,8.63,9.18,-,-,-,3.67,9.18,9.18
72,-,-,-,-,-,-,-,-,-,-,-,-,0,0.3,4,4.3,-,-,-,0,-,-,-,0,1.43,0.86,-,-,-,0.34,0.86,0.86
73,10,10,10,10,10,6.67,10,10,10,10,10,10,9.72,0.8,7,7.8,1,3,-,4,1,2.11,-,3.11,4.97,6.87,-,-,-,2.75,6.87,6.87
74,-,-,-,-,3.33,-,5,-,-,-,-,-,0.69,-,-,0,-,-,-,0,-,-,-,0,0,0.28,-,-,0,0.11,0.28,0.28
75,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,7.33,-,8.33,1,7.78,-,8.78,8.7,9.22,-,-,-,3.69,9.22,9.22
76,10,10,10,-,10,10,10,6.67,10,10,10,10,8.89,0.7,5,5.7,0.9,3,-,3.9,1,3.37,-,4.37,4.66,6.35,-,-,-,2.54,6.35,6.35
77,9.38,10,10,10,10,10,10,10,10,10,10,10,9.95,1,2.5,3.5,1,3.5,-,4.5,1,5.83,-,6.83,4.94,6.95,-,-,-,2.78,6.95,6.95
78,10,10,10,7.5,10,6.67,10,10,10,10,10,10,9.51,0.8,8.5,9.3,1,4.33,-,5.33,1,8.33,-,9.33,7.99,8.6,-,-,-,3.44,8.6,8.6
79,10,10,10,-,6.67,10,5,6.67,0,5,10,10,6.94,0.9,9,9.9,0.9,5.5,-,6.4,0.9,5.2,-,6.1,7.47,7.26,-,-,-,2.9,7.26,7.26
80,10,10,10,10,10,10,10,10,10,10,5,10,9.58,0.9,6,6.9,0.8,2.5,-,3.3,1,6.16,-,7.16,5.79,7.31,-,-,-,2.92,7.31,7.31
81,8.75,10,10,10,10,10,10,10,10,10,10,10,9.9,0.9,9,9.9,1,5.5,-,6.5,1,3.07,-,4.07,6.82,8.05,-,-,-,3.22,8.05,8.05
82,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6.5,7.5,1,6,-,7,1,4.5,-,5.5,6.67,8,-,-,-,3.2,8,8
83,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,10,-,10,0.9,8.37,-,9.27,9.42,9.65,-,-,-,3.86,9.65,9.65
84,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,1,2.33,-,3.33,1,5.93,-,6.93,5.72,7.43,-,-,-,2.97,7.43,7.43
85,10,10,10,7.5,10,10,10,3.33,10,10,5,10,8.82,0.5,5,5.5,0.8,7.17,-,7.97,-,4.86,-,4.86,6.11,7.19,-,-,-,2.88,7.19,7.19
86,10,10,10,-,10,10,10,10,10,-,10,10,8.33,0.9,9,9.9,0.9,6.5,-,7.4,1,7.83,-,8.83,8.71,8.56,-,-,-,3.42,8.56,8.56
87,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,7,-,8,1,9.3,-,10,9.33,9.6,-,-,-,3.84,9.6,9.6
88,10,10,10,-,10,10,10,6.67,10,10,10,-,8.06,1,5,6,0.9,4,-,4.9,1,4.86,-,5.86,5.59,6.57,-,-,-,2.63,6.57,6.57
89,10,10,10,10,10,10,10,6.67,10,10,10,10,9.72,0.9,6.5,7.4,1,4.17,-,5.17,1,3.53,-,4.53,5.7,7.31,-,-,-,2.92,7.31,7.31
90,10,10,10,5,6.67,10,10,10,0,10,10,10,8.47,0.9,7,7.9,1,3,-,4,1,4.71,-,5.71,5.87,6.91,-,-,-,2.76,6.91,6.91
91,10,10,10,10,10,10,10,10,10,10,10,10,10,1,7.5,8.5,1,8.33,-,9.33,0.9,4.17,-,5.07,7.63,8.58,-,-,-,3.43,8.58,8.58
92,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,0.9,4.5,-,5.4,1,5.87,-,6.87,7.06,8.23,-,-,-,3.29,8.23,8.23
93,10,10,10,5,10,10,10,6.67,10,5,10,10,8.89,0.8,6,6.8,0.6,5,-,5.6,1,2.97,-,3.97,5.46,6.83,-,-,-,2.73,6.83,6.83
94,10,10,10,10,6.67,10,10,6.67,10,10,10,10,9.44,0.7,9,9.7,1,5,-,6,1,1.33,-,2.33,6.01,7.38,-,-,-,2.95,7.38,7.38
95,10,10,6.67,7.5,10,6.67,5,6.67,0,10,5,10,7.29,0.5,6,6.5,0.7,8.83,-,9.53,0.4,2.77,-,3.17,6.4,6.76,-,-,-,2.7,6.76,6.76
96,9.38,10,10,5,10,10,10,6.67,10,10,10,10,9.25,0.9,8,8.9,1,8,-,9,0.8,7.67,-,8.47,8.79,8.97,-,-,-,3.59,8.97,8.97
97,10,-,6.67,5,3.33,3.33,5,6.67,10,5,10,5,5.83,0.6,4,4.6,0.4,1,-,1.4,0.4,3.21,-,3.61,3.2,4.26,0.9,8.25,9.15,7.19,7.19,7.19
98,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,9,9.9,-,10,-,10,1,6.87,-,7.87,9.26,9.47,-,-,-,3.79,9.47,9.47
99,10,10,10,5,10,3.33,10,10,10,10,-,10,8.19,0.9,8.5,9.4,0.8,7.67,-,8.47,1,4.4,-,5.4,7.76,7.93,-,-,-,3.17,7.93,7.93
100,10,-,-,10,10,10,10,10,10,10,10,10,8.33,1,8,9,0.9,7.5,-,8.4,1,5.27,-,6.27,7.89,8.07,-,-,-,3.23,8.07,8.07
101,10,10,10,5,10,10,10,10,10,10,10,5,9.17,0.9,5,5.9,0.9,5.67,-,6.57,0.8,6.27,-,7.07,6.51,7.57,-,-,-,3.03,7.57,7.57
102,10,10,10,10,10,10,10,3.33,10,10,5,10,9.03,0.7,10,10,0.7,5.67,-,6.37,0.7,6.23,-,6.93,7.77,8.27,-,-,-,3.31,8.27,8.27
103,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,4.5,5.4,1,6.33,-,7.33,1,2.77,-,3.77,5.5,7.3,-,-,-,2.92,7.3,7.3
104,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,9,9.9,0.9,6.33,-,7.23,1,6.97,-,7.97,8.37,9.02,-,-,-,3.61,9.02,9.02
105,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,6.83,-,7.83,1,8.7,-,9.7,9.18,9.51,-,-,-,3.8,9.51,9.51
106,10,10,-,7.5,10,6.67,10,10,10,10,10,10,8.68,0.9,3.5,4.4,1,4.83,-,5.83,1,5.93,-,6.93,5.72,6.91,-,-,-,2.76,6.91,6.91
107,10,10,10,10,10,10,10,6.67,10,10,10,10,9.72,1,8,9,0.9,6,-,6.9,1,7.7,-,8.7,8.2,8.81,-,-,-,3.52,8.81,8.81
108,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,0.9,2,-,2.9,1,1,-,2,4.63,6.78,-,-,-,2.71,6.78,6.78
109,10,10,10,5,-,3.33,5,6.67,10,10,10,10,7.5,1,6,7,0.6,5.33,-,5.93,0.5,6.63,-,7.13,6.69,7.01,-,-,-,2.81,7.01,7.01
110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,7,7.9,1,5.33,-,6.33,1,6.67,-,7.67,7.3,8.38,-,-,-,3.35,8.38,8.38
112,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,5,-,6,1,2.07,-,3.07,6.02,7.61,-,-,-,3.05,7.61,7.61
113,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,9,9.8,1,4.67,-,5.67,1,6.2,-,7.2,7.56,8.53,-,-,-,3.41,8.53,8.53
114,10,10,-,-,6.67,10,10,3.33,10,5,10,10,7.08,0.7,6,6.7,0.7,4.33,-,5.03,0.8,6.24,-,7.04,6.26,6.59,-,-,-,2.64,6.59,6.59
115,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,10,10,1,8.5,-,9.5,1,8.67,-,9.67,9.72,9.83,-,-,-,3.93,9.83,9.83
116,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,3.5,4.3,1,4.33,-,5.33,1,2.43,-,3.43,4.36,6.61,-,-,-,2.65,6.61,6.61
117,10,10,10,5,10,10,10,10,10,10,10,10,9.58,0.9,6,6.9,0.9,3,-,3.9,0.9,-,-,0.9,3.9,6.17,-,-,-,2.47,6.17,6.17
118,10,10,10,5,10,10,10,6.67,0,-,10,-,6.81,0.8,8,8.8,1,4.83,-,5.83,1,8.67,-,9.67,8.1,7.58,-,-,-,3.03,7.58,7.58
119,9.38,-,-,10,10,10,10,10,-,5,10,10,7.03,0.6,4,4.6,0.9,2,-,2.9,0.9,5.23,-,6.13,4.54,5.54,1,7,8,7.02,7.02,7.02
120,10,10,-,10,10,10,10,10,10,10,10,10,9.17,0.8,6.5,7.3,1,5.67,-,6.67,1,3.78,-,4.78,6.25,7.42,-,-,-,2.97,7.42,7.42
121,10,10,10,5,10,10,10,10,10,10,10,10,9.58,0.9,6,6.9,0.8,3.33,-,4.13,1,7.1,-,8.1,6.38,7.66,-,-,-,3.06,7.66,7.66
122,10,10,10,10,10,10,10,10,10,10,10,10,10,1,5,6,1,5.33,-,6.33,1,4.59,-,5.59,5.98,7.59,-,-,-,3.03,7.59,7.59
123,8.13,10,10,5,6.67,-,10,10,10,10,10,10,8.32,0.8,8,8.8,0.8,3,-,3.8,1,1.78,-,2.78,5.13,6.4,-,-,-,2.56,6.4,6.4
124,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,9,9.9,0.9,7.83,-,8.73,1,8.97,-,9.97,9.53,9.72,-,-,-,3.89,9.72,9.72
125,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,5.5,6.3,1,6.67,-,7.67,1,3.79,-,4.79,6.25,7.75,-,-,-,3.1,7.75,7.75
126,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,4,4.8,0.9,8.67,-,9.57,1,9.27,-,10,8.12,8.87,-,-,-,3.55,8.87,8.87
127,8.75,10,10,7.5,10,6.67,10,3.33,10,10,-,10,8.02,0.9,6,6.9,-,7.5,-,7.5,-,4.3,-,4.3,6.23,6.95,-,-,-,2.78,6.95,6.95
128,9.38,10,10,7.5,10,10,10,10,10,10,10,10,9.74,0.6,6,6.6,1,3.67,-,4.67,1,4.5,-,5.5,5.59,7.25,-,-,-,2.9,7.25,7.25
129,8.75,10,10,10,10,10,10,10,10,10,10,10,9.9,0.9,7,7.9,0.9,6.17,-,7.07,0.9,3.54,-,4.44,6.47,7.84,-,-,-,3.14,7.84,7.84
130,10,10,10,10,10,10,10,6.67,10,10,10,10,9.72,1,8,9,1,5.5,-,6.5,0.9,3.34,-,4.24,6.58,7.84,-,-,-,3.13,7.84,7.84
131,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,0.8,8.17,-,8.97,1,6.17,-,7.17,8.34,9.01,-,-,-,3.6,9.01,9.01
132,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,0.9,7.5,-,8.4,1,7.97,-,8.97,8.76,9.25,-,-,-,3.7,9.25,9.25
133,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,8.17,-,9.17,0.9,9,-,9.9,9.36,9.61,-,-,-,3.85,9.61,9.61
134,5.63,10,-,7.5,10,10,10,6.67,10,10,10,10,8.32,0.8,5,5.8,0.9,5,-,5.9,1,2.08,-,3.08,4.93,6.28,-,-,-,2.51,6.28,6.28
135,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,8.5,9.4,1,6.5,-,7.5,1,9.03,-,10,8.97,9.3,-,-,-,3.72,9.3,9.3
136,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.6,6,6.6,0.8,4,-,4.8,1,5.58,-,6.58,5.99,7.51,-,-,-,3,7.51,7.51
137,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,1,2.33,-,3.33,0.9,4.82,-,5.72,5.32,7.19,-,-,-,2.88,7.19,7.19
138,-,10,10,10,6.67,10,10,-,10,10,-,10,7.22,1,6,7,1,3.33,-,4.33,1,3.33,-,4.33,5.22,6.02,-,-,-,2.41,6.02,6.02
139,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.8,4.5,5.3,0.8,2,-,2.8,0.8,5.06,-,5.86,4.65,6.71,-,-,-,2.68,6.71,6.71
140,10,10,10,5,10,6.67,10,6.67,10,10,10,10,9.03,0.9,8,8.9,0.7,7.67,-,8.37,0.7,8.67,-,9.37,8.88,8.94,-,-,-,3.58,8.94,8.94
