Id,Conceito Final (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Total do curso (Real)
22,7.04,-,-,-,2.81,9.48,10,10,7.5,10,6.67,8.33,5,10,0,6.67,8,7.64,0.7,-,6.58,7.28,0.7,4.69,5.39,0.7,6.55,7.25,6.64,7.04,7.04
23,8.16,-,-,-,3.26,10,10,10,10,10,10,10,10,10,10,9.17,10,9.93,1,-,8.7,9.7,0.9,4.79,5.69,0.9,4.65,5.55,6.98,8.16,8.16
24,8.25,-,-,-,3.3,10,10,10,10,10,10,10,10,10,7.33,10,10,9.78,1,-,7.83,8.83,0.9,4.69,5.59,1,6.3,7.3,7.24,8.25,8.25
25,6.85,-,-,-,2.74,10,10,10,7.5,10,8.33,10,10,5,0,-,-,6.74,0.8,-,9.05,9.85,0.9,7.92,8.82,0.3,1.8,2.1,6.92,6.85,6.85
26,9.56,-,-,-,3.82,9.48,10,10,10,10,10,10,10,10,10,10,10,9.96,1,8.57,-,9.57,0.9,10,10,1,7.3,8.3,9.29,9.56,9.56
27,9.59,-,-,-,3.84,8.96,10,10,10,10,10,10,8.89,10,9,10,8,9.57,0.8,-,9.38,10,0.8,8.13,8.93,1,8.9,9.9,9.61,9.59,9.59
28,9.96,-,-,-,3.98,10,10,10,10,10,10,10,10,10,10,10,9,9.92,1,-,9.75,10,0.8,9.17,9.97,0.9,9.4,10,9.99,9.96,9.96
29,8.83,-,-,-,3.53,10,10,10,10,10,10,10,10,5,10,7.5,8,9.21,0.8,-,9.63,10,0.7,6.25,6.95,0.8,8,8.8,8.58,8.83,8.83
30,7.23,0.6,7.67,8.27,7.23,9.48,5,6.67,3.75,10,3.33,10,0,-,-,-,5.75,4.5,-,-,8.15,8.15,1,4.58,5.58,0.9,4.8,5.7,6.48,5.69,7.23
31,9.73,-,-,-,3.89,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,8.63,9.63,1,8.02,9.02,1,9.7,10,9.55,9.73,9.73
32,5.91,-,-,-,2.37,10,10,10,5,10,0,6.67,3.33,10,8,5.83,3.25,6.84,1,-,7.45,8.45,0.9,2.29,3.19,1,3.25,4.25,5.3,5.91,5.91
33,8.1,-,-,-,3.24,10,10,10,7.5,10,10,8.33,10,10,8,10,10,9.49,1,-,8.13,9.13,1,4.58,5.58,1,5.8,6.8,7.17,8.1,8.1
34,7.7,-,-,-,3.08,10,5,10,10,10,10,10,10,10,5,5,-,7.92,0.9,-,9.38,10,0.9,4.9,5.8,1,5.85,6.85,7.55,7.7,7.7
35,9.26,-,-,-,3.71,10,10,10,7.5,10,10,10,8.89,10,10,10,8,9.53,0.9,-,8.33,9.23,0.8,8.13,8.93,0.8,8.3,9.1,9.08,9.26,9.26
36,8.85,-,-,-,3.54,10,10,10,8.75,10,10,10,10,5,8,9.17,10,9.24,0.9,-,8,8.9,0.9,6.56,7.46,0.9,8.5,9.4,8.59,8.85,8.85
37,6.16,-,-,-,2.46,-,10,10,8.75,10,6.67,8.33,3.33,5,3.33,5.83,8.75,6.67,0.5,-,7.5,8,0.4,3.13,3.53,0.8,5.15,5.95,5.83,6.16,6.16
38,9.56,-,-,-,3.83,10,10,10,7.5,10,10,10,6.67,10,9,9.17,10,9.36,0.8,-,9,9.8,0.9,9.17,10,0.9,8.4,9.3,9.7,9.56,9.56
39,7.49,1,10,10,7.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.75,9.75,-,4.9,4.9,1,3,4,6.22,3.73,7.49
40,9.03,-,-,-,3.61,10,10,10,10,10,10,8.33,10,10,7,10,10,9.61,1,-,8.58,9.58,1,6.88,7.88,0.9,7.6,8.5,8.65,9.03,9.03
41,9.67,-,-,-,3.87,10,10,10,10,10,10,10,6.67,5,10,10,10,9.31,1,-,8.75,9.75,1,9.06,10,1,9,10,9.92,9.67,9.67
42,8.56,-,-,-,3.42,10,10,10,7.5,10,10,8.33,10,10,7.33,9.17,10,9.36,0.8,-,9.05,9.85,1,5.63,6.63,1,6.6,7.6,8.03,8.56,8.56
43,7.54,0.8,8,8.8,7.54,10,10,10,5,10,10,10,4.44,10,6.33,6.67,3,7.95,0.7,-,4.43,5.13,0.5,1.67,2.17,-,5.1,5.1,4.13,5.66,7.54
44,7.63,-,-,-,3.05,10,10,10,7.5,10,6.67,10,10,10,4.33,7.5,7,8.58,1,-,7.6,8.6,1,6.25,7.25,1,4.13,5.13,6.99,7.63,7.63
45,6.63,-,-,-,2.65,10,10,10,7.5,10,10,8.33,6.67,10,9,4.17,0,7.97,0.7,-,7.25,7.95,1,6.15,7.15,0.6,1.5,2.1,5.73,6.63,6.63
46,9.61,-,-,-,3.84,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,9.5,10,0.9,8.75,9.65,1,7.4,8.4,9.35,9.61,9.61
47,7.84,-,-,-,3.13,10,10,10,5,10,10,10,10,10,10,7.5,10,9.38,0.9,-,7.5,8.4,1,3.33,4.33,1,6.7,7.7,6.81,7.84,7.84
48,6.27,-,-,-,2.51,8.13,10,10,2.5,5,5,8.33,6.67,5,0,6.67,2,5.77,0.2,-,8.5,8.7,0.3,2.29,2.59,1,7.5,8.5,6.6,6.27,6.27
49,7.78,-,-,-,3.11,10,5,6.67,7.5,10,10,10,10,10,7.33,9.17,5.25,8.41,1,-,8,9,1,6.88,7.88,0.9,4.3,5.2,7.36,7.78,7.78
50,6.52,-,-,-,2.61,10,10,10,2.5,10,-,8.33,8.89,10,0,8.33,9,7.25,1,-,4.63,5.63,1,4.69,5.69,1,5.8,6.8,6.04,6.52,6.52
51,4.22,-,-,-,1.69,-,-,-,-,10,10,-,-,10,0,-,-,2.5,0.8,-,8.88,9.68,0.7,5.73,6.43,-,-,-,5.37,4.22,4.22
52,7.58,-,-,-,3.03,10,10,10,10,10,10,10,5.56,10,5.33,8.33,8,8.94,0.8,-,6.05,6.85,0.9,5,5.9,1,6.3,7.3,6.68,7.58,7.58
53,6.39,-,-,-,2.56,10,10,10,2.5,0,8.33,10,4.44,10,3,5.83,9,6.93,1,-,5.3,6.3,0.8,5.52,6.32,1,4.48,5.48,6.03,6.39,6.39
54,5.77,0.9,4.25,5.15,5.4,10,10,0,6.25,5,10,6.67,5.56,10,1.67,-,-,5.43,0.6,-,8.63,9.23,0.7,3.13,3.83,1,3.95,4.95,6,5.77,5.77
55,6.97,-,-,-,2.79,5.52,5,10,2.5,10,10,8.33,6.67,5,8,8.33,10,7.45,0.9,-,9.55,10,1,4.9,5.9,1,3.08,4.08,6.66,6.97,6.97
56,9.27,-,-,-,3.71,10,10,10,7.5,10,8.33,10,7.78,10,9,10,8.75,9.28,0.9,-,7.85,8.75,0.8,8.75,9.55,0.7,8.8,9.5,9.27,9.27,9.27
57,7.83,-,-,-,3.13,10,10,10,8.75,10,6.67,10,8.89,10,7,5,8,8.69,0.9,-,9.18,10,0.7,6.35,7.05,0.8,3.9,4.7,7.25,7.83,7.83
58,8.64,-,-,-,3.45,10,10,10,10,10,10,6.67,6.67,10,8,8.33,9,9.06,0.8,-,9.7,10,0.9,6.67,7.57,0.9,6.6,7.5,8.36,8.64,8.64
59,4.75,-,-,-,1.9,9.17,5,10,10,5,6.67,6.67,8.89,5,0,5,5.5,6.41,0.7,-,8.25,8.95,-,1.98,1.98,-,-,0,3.64,4.75,4.75
60,9.05,-,-,-,3.62,10,10,10,10,10,10,10,10,10,9,6.67,8.75,9.53,0.9,-,9.5,10,1,7.29,8.29,1,6.9,7.9,8.73,9.05,9.05
61,10,-,-,-,4,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,9.55,10,1,10,10,1,9,10,10,10,10
62,7.08,-,-,-,2.83,10,10,10,3.75,10,8.33,6.67,3.33,10,4.33,3.33,6,7.15,0.8,-,8.75,9.55,0,4.48,4.48,0.3,6.8,7.1,7.04,7.08,7.08
63,6.49,0.8,6.25,7.05,6.49,-,10,6.67,10,10,3.33,6.67,1.11,5,0,-,7,4.98,0.5,-,7.13,7.63,0.4,1.88,2.28,0.7,7.7,8.4,6.1,5.65,6.49
64,8.81,-,-,-,3.52,10,10,10,10,10,10,8.33,8.89,10,10,10,10,9.77,0.9,-,9.7,10,1,5.1,6.1,1,7.4,8.4,8.17,8.81,8.81
65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,6.41,-,-,-,2.56,9.48,0,10,6.25,5,8.33,10,5.56,10,5.67,1.67,6,6.5,0.8,-,8.25,9.05,0.8,5.42,6.22,0.9,2.9,3.8,6.36,6.41,6.41
67,7.92,-,-,-,3.17,9.48,10,6.67,8.75,10,5,8.33,8.89,10,7.33,6.67,7,8.18,0.7,-,7.45,8.15,0.7,7.6,8.3,0.8,6,6.8,7.75,7.92,7.92
68,6.3,-,8,8,6.3,-,10,6.67,0,5,5,10,-,-,0,-,1,3.14,0.5,-,4.78,5.28,0.8,3.44,4.24,0.7,2.3,3,4.17,3.76,6.3
69,6.57,-,-,-,2.63,10,10,6.67,6.25,10,8.33,10,10,10,5,-,-,7.19,0.8,-,9.6,10,0.9,5,5.9,0.7,1.85,2.55,6.15,6.57,6.57
70,7.25,-,-,-,2.9,10,10,6.67,7.5,5,-,10,5.56,10,1.67,-,-,5.53,1,-,9.7,10,1,5.94,6.94,1,7.25,8.25,8.4,7.25,7.25
71,6.2,0.7,6,6.7,6.2,8.13,5,10,6.25,5,0,6.67,6.67,5,5.33,4.17,0,5.18,-,-,7.55,7.55,-,5,5,-,4.3,4.3,5.62,5.44,6.2
72,7.96,-,-,-,3.18,10,10,10,7.5,10,6.67,10,10,-,8,9.17,9,8.36,0.6,-,6.05,6.65,0.5,5.94,6.44,0.9,10,10,7.7,7.96,7.96
73,6.64,-,-,-,2.65,10,10,10,7.5,10,8.33,8.33,7.78,10,8,5,5.75,8.39,1,-,9.45,10,1,2.6,3.6,1,1.8,2.8,5.47,6.64,6.64
74,7.47,-,-,-,2.99,10,10,10,5,5,10,10,7.78,10,7.33,9.17,-,7.86,0.9,-,9.55,10,0.9,6.25,7.15,1,3.5,4.5,7.22,7.47,7.47
75,7,-,-,-,2.8,8.65,10,10,6.25,5,10,5,3.33,5,5.33,5.83,8,6.87,1,-,7.73,8.73,0.9,5.73,6.63,1,4.9,5.9,7.08,7,7
76,8.4,-,-,-,3.36,10,10,10,10,10,6.67,10,10,10,9,6.67,10,9.36,0.7,-,9.08,9.78,0.8,5.42,6.22,0.9,6.4,7.3,7.76,8.4,8.4
77,8.28,-,-,-,3.31,10,5,10,7.5,10,8.33,10,8.89,10,9,9.17,9,8.91,0.9,-,9.45,10,1,5.63,6.63,1,5.98,6.98,7.87,8.28,8.28
78,5.94,0.7,5.25,5.95,5.94,-,10,6.67,-,10,6.67,8.33,0,10,4.33,5.83,7,5.74,0.6,-,8.13,8.73,1,4.69,5.69,0.8,2.95,3.75,6.05,5.93,5.94
79,7.17,0.8,7.67,8.47,7.17,9.17,5,10,5,10,6.67,10,8.89,10,7,8.33,8,8.17,0.9,-,5.45,6.35,0.6,0,0.6,-,2.8,2.8,3.25,5.22,7.17
80,9,-,-,-,3.6,10,10,10,7.5,10,10,8.33,10,10,8,10,9,9.4,0.7,-,9.05,9.75,1,6.35,7.35,0.9,8.2,9.1,8.73,9,9
81,6.93,-,-,-,2.77,10,10,10,6.25,10,3.33,10,0,10,3.33,8.33,10,7.6,1,-,7.1,8.1,1,3.23,4.23,1,6.1,7.1,6.48,6.93,6.93
82,9.12,-,-,-,3.65,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,1,-,9.38,10,1,7.4,8.4,1,6.6,7.6,8.67,9.12,9.12
83,6.05,-,-,-,2.42,-,-,10,2.5,10,10,6.67,5,10,1.67,4.17,6.25,5.52,0.7,-,7,7.7,1,5.63,6.63,0.9,4,4.9,6.41,6.05,6.05
84,7.14,-,-,-,2.85,-,10,10,10,10,6.67,8.33,7.78,10,3.67,7.5,9,7.75,0.8,-,6.53,7.33,0.8,5.94,6.74,0.6,5.53,6.13,6.73,7.14,7.14
85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,7.88,-,-,-,3.15,10,10,10,7.5,10,10,8.33,3.33,10,10,10,7,8.85,1,-,6.55,7.55,0.8,6.25,7.05,1,6.1,7.1,7.23,7.88,7.88
87,8.25,-,-,-,3.3,10,10,10,7.5,10,10,10,10,10,8,8.33,9,9.4,1,-,6.73,7.73,1,6.67,7.67,1,6.08,7.08,7.49,8.25,8.25
88,6.07,-,7,7,6.07,10,10,10,10,-,-,-,-,-,8,-,-,4,-,-,8.25,8.25,-,1.98,1.98,-,5.18,5.18,5.13,4.68,6.07
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,0.29,-,-,-,0.12,-,-,-,8.75,-,-,-,-,-,-,-,-,0.73,-,-,-,0,-,-,0,-,-,0,0,0.29,0.29
91,9.54,-,-,-,3.82,9.48,10,10,7.5,10,8.33,10,10,10,10,9.17,7.75,9.35,1,-,8.75,9.75,0.8,8.44,9.24,0.6,9.4,10,9.66,9.54,9.54
92,8.47,-,-,-,3.39,9.48,10,10,10,10,5,10,8.89,5,10,8.33,7,8.64,1,-,9.75,10,1,6.88,7.88,1,6.2,7.2,8.36,8.47,8.47
93,7.2,-,-,-,2.88,10,10,10,7.5,5,6.67,10,8.89,5,7,5,2.25,7.28,0.9,-,8.25,9.15,0.8,6.88,7.68,0.6,4,4.6,7.14,7.2,7.2
94,4.3,-,-,-,1.72,10,-,-,7.5,-,6.67,-,7.22,-,-,2.5,-,2.82,0.8,-,5.25,6.05,0.3,5.21,5.51,0.3,3.98,4.28,5.28,4.3,4.3
95,2,-,-,-,0.8,8.13,0,-,-,-,-,-,-,-,-,-,-,0.68,0.7,-,7.03,7.73,0.3,0.63,0.93,-,-,0,2.88,2,2
96,7.65,-,-,-,3.06,10,10,10,10,10,6.67,10,8.89,10,9,7.5,-,8.5,0.9,-,9.5,10,1,5.63,6.63,1,3.63,4.63,7.08,7.65,7.65
97,8.01,-,-,-,3.2,10,5,10,5,10,8.33,10,10,5,8,10,4.25,7.97,0.8,-,9.55,10,1,5.42,6.42,1,6.7,7.7,8.04,8.01,8.01
98,7.15,-,-,-,2.86,-,10,10,5,10,10,10,5,10,9,7.5,9,7.96,1,-,7.95,8.95,0.9,4.06,4.96,1,4.9,5.9,6.6,7.15,7.15
99,9.35,-,-,-,3.74,10,10,10,10,5,10,10,8.89,10,10,9.17,10,9.42,1,-,8.75,9.75,1,8.54,9.54,1,7.6,8.6,9.3,9.35,9.35
100,7.78,-,-,-,3.11,10,10,10,7.5,10,8.33,10,10,10,9,8.33,7.5,9.22,0.8,-,8.55,9.35,1,5,6,1,4.1,5.1,6.82,7.78,7.78
101,9.72,-,-,-,3.89,10,10,10,10,10,10,10,10,10,10,9.17,10,9.93,0.9,-,10,10,1,8.65,9.65,0.9,8.2,9.1,9.58,9.72,9.72
102,6.8,-,-,-,2.72,9.17,5,10,2.5,5,6.67,10,10,10,7,7.5,7,7.49,0.6,-,2.88,3.48,0.7,6.46,7.16,0.4,8,8.4,6.34,6.8,6.8
103,8.06,-,-,-,3.22,10,10,10,7.5,10,8.33,10,10,10,10,9.17,10,9.58,0.9,-,7.75,8.65,1,4.38,5.38,1,6.1,7.1,7.04,8.06,8.06
104,5.93,-,-,-,2.37,10,10,10,2.5,5,10,6.67,8.89,5,1.67,5.83,8,6.96,0.9,-,5.7,6.6,0.8,2.71,3.51,0.6,5,5.6,5.24,5.93,5.93
105,7.13,-,-,-,2.85,9.48,10,10,7.5,0,3.33,6.67,0,5,0,5.83,9,5.57,1,-,7.65,8.65,0.6,6.88,7.48,1,7.4,8.4,8.18,7.13,7.13
106,7.4,-,-,-,2.96,8.65,10,10,3.75,5,10,0,8.89,5,9,5,9,7.02,-,-,7.95,7.95,-,5,5,0.9,9.6,10,7.65,7.4,7.4
107,9.02,-,-,-,3.61,9.48,10,10,7.5,10,10,10,7.22,10,9,8.33,9,9.21,0.9,-,10,10,0.7,7.19,7.89,0.8,8,8.8,8.9,9.02,9.02
108,7.5,-,-,-,3,9.48,10,10,7.5,10,5,6.67,10,10,7,6.67,8,8.36,0.8,-,7.2,8,0.9,5.83,6.73,1,5.03,6.03,6.92,7.5,7.5
109,9.02,-,-,-,3.61,9.48,10,10,10,10,10,10,5,10,10,10,9,9.46,0.7,-,9,9.7,1,6.88,7.88,0.9,7.7,8.6,8.73,9.02,9.02
110,6.54,-,-,-,2.62,10,10,6.67,-,5,8.33,6.67,0,10,-,-,-,4.72,0.8,-,6.13,6.93,-,8.75,8.75,0.9,6.7,7.6,7.76,6.54,6.54
111,7.9,-,-,-,3.16,-,10,10,7.5,10,3.33,10,6.67,10,10,10,10,8.13,0.9,-,9.5,10,1,3.54,4.54,1,7.7,8.7,7.75,7.9,7.9
112,7.41,-,-,-,2.96,10,5,6.67,6.25,10,6.67,10,7.78,10,3.67,5.83,3.5,7.11,1,-,8.68,9.68,0.9,6.35,7.25,1,4.88,5.88,7.6,7.41,7.41
113,6.89,-,-,-,2.76,-,10,10,2.5,5,5,10,5.56,10,8,7.5,7.75,6.78,0.8,-,7.88,8.68,0.8,5.73,6.53,0.9,4.8,5.7,6.97,6.89,6.89
114,8.56,-,-,-,3.42,10,10,6.67,7.5,5,10,10,10,5,10,10,10,8.68,0.8,-,8.05,8.85,0.9,6.88,7.78,1,7.8,8.8,8.48,8.56,8.56
115,7.43,-,-,-,2.97,9.48,10,10,0,-,0,10,6.11,10,8,5,9,6.47,0.7,-,8.8,9.5,1,7.5,8.5,0.9,5.3,6.2,8.07,7.43,7.43
116,5.92,1,6.67,7.67,5.92,9.48,5,10,3.75,0,3.33,6.67,-,10,-,4.17,-,4.37,0.8,-,4.38,5.18,0.9,0.73,1.63,1,-,1,2.6,3.31,5.92
117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,7.6,1,8,9,7.6,10,10,10,6.25,10,6.67,5,3.33,10,7.33,-,3,6.8,0.8,-,8.18,8.98,0.5,0,0.5,1,3.4,4.4,4.63,5.49,7.6
119,6.01,-,-,-,2.4,-,10,10,10,5,-,10,-,10,5.33,-,8,5.69,0.7,-,7.48,8.18,0.9,3.44,4.34,1,5.13,6.13,6.21,6.01,6.01
120,9.94,-,-,-,3.98,10,10,10,10,10,8.33,10,10,10,10,10,10,9.86,1,-,9.55,10,0.7,9.27,9.97,0.9,9.3,10,9.99,9.94,9.94
121,6.06,-,-,-,2.42,9.17,10,6.67,3.75,5,6.67,10,8.89,10,5.33,5.83,3.5,7.07,0.9,-,5.93,6.83,0.9,6.04,6.94,0.9,1.48,2.38,5.38,6.06,6.06
122,8.04,-,-,-,3.22,10,10,10,5,10,6.67,10,10,10,5.33,7.5,10,8.71,1,-,7,8,1,7.29,8.29,1,5.5,6.5,7.6,8.04,8.04
123,8.95,-,-,-,3.58,10,10,10,10,10,6.67,10,10,10,10,10,-,8.89,1,-,8.35,9.35,1,7.92,8.92,0.9,7.8,8.7,8.99,8.95,8.95
124,8.16,-,-,-,3.26,10,10,10,5,10,10,10,8.89,10,5.67,9.17,7,8.81,1,-,8.18,9.18,1,4.9,5.9,1,7.1,8.1,7.72,8.16,8.16
125,8.98,-,-,-,3.59,10,10,10,7.5,10,8.33,10,10,0,4.33,7.5,8.75,8.03,0.8,-,9.25,10,0.6,8.75,9.35,0.7,8.8,9.5,9.62,8.98,8.98
126,7.87,-,-,-,3.15,9.48,10,10,5,10,8.33,6.67,8.89,10,7,6.67,10,8.5,0.9,-,5.7,6.6,0.9,6.25,7.15,0.9,7.7,8.6,7.45,7.87,7.87
127,7.97,-,-,-,3.19,10,10,10,7.5,10,6.67,10,10,10,5.67,10,10,9.15,0.8,-,9,9.8,1,5,6,1,4.73,5.73,7.18,7.97,7.97
128,6.58,-,-,-,2.63,10,5,10,6.25,5,5,10,10,5,4.33,5.83,8,7.03,0.6,-,6.38,6.98,0.4,3.54,3.94,1,6.9,7.9,6.27,6.58,6.58
129,6.6,-,-,-,2.64,10,10,10,5,5,3.33,10,4.44,10,7,7.5,2.25,7.04,0.8,-,9.2,10,0.7,4.79,5.49,0.7,2.7,3.4,6.3,6.6,6.6
130,6.7,0.7,7,7.7,6.7,8.96,0,6.67,2.5,5,0,10,3.33,10,5.33,6.67,3,5.12,0.7,-,7.83,8.53,0.6,3.54,4.14,-,3.1,3.1,5.26,5.2,6.7
131,7.89,-,-,-,3.15,10,10,10,6.25,10,8.33,10,10,10,5.33,6.67,3,8.3,-,-,6.03,6.03,0.9,7.6,8.5,0.7,7.6,8.3,7.61,7.89,7.89
132,7.79,-,-,-,3.12,10,10,10,7.5,10,6.67,10,8.89,10,6,7.5,2,8.21,1,-,9.63,10,1,5.42,6.42,1,5.1,6.1,7.51,7.79,7.79
133,7.08,-,-,-,2.83,10,5,10,5,10,10,10,6.67,10,8,7.5,7.75,8.33,0.9,-,6.7,7.6,0.9,3.44,4.34,1,5.8,6.8,6.25,7.08,7.08
134,9.13,-,-,-,3.65,10,10,10,10,10,10,10,10,10,7,10,10,9.75,1,-,9.75,10,1,6.67,7.67,1,7.5,8.5,8.72,9.13,9.13
135,2.79,-,-,-,1.12,7.92,10,10,-,-,-,-,-,-,-,-,-,2.33,0.9,-,5.93,6.83,0.8,1.67,2.47,-,-,0,3.1,2.79,2.79
